Name,State,Control,Region,Enrollment
Torah Temimah Talmudical Seminary,NY,Private,Northeast,66
Faith Theological Seminary,MD,Private,Northeast,66
Conception Seminary College,MO,Private,Midwest,67
Baptist Missionary Association Theological Seminary,TX,Private,West,67
Virginia International University,VA,Private,Southeast,67
Northeast Catholic College,NH,Private,Northeast,70
Yeshiva D'monsey Rabbinical College,NY,Private,Northeast,70
Kentucky Mountain Bible College,KY,Private,Southeast,75
Allegheny Wesleyan College,OH,Private,Midwest,75
Bais HaMedrash and Mesivta of Baltimore,MD,Private,Northeast,76
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,Private,Northeast,77
Saint Louis Christian College,MO,Private,Midwest,78
Yeshiva Kollel Tifereth Elizer,NY,Private,Northeast,78
Yeshiva Gedolah Shaarei Shmuel,NJ,Private,Northeast,81
Yeshiva Shaar Hatorah,NY,Private,Northeast,82
Yeshiva Derech Chaim,NY,Private,Northeast,83
New Hope Christian College-Eugene,OR,Private,West,85
Grace Mission University,CA,Private,West,85
Rabbi Jacob Joseph School,NJ,Private,Northeast,86
United States Sports Academy,AL,Private,Southeast,88
Antioch University-Seattle,WA,Private,West,88
VanderCook College of Music,IL,Private,Midwest,90
Thomas More College of Liberal Arts,NH,Private,Northeast,90
Pontifical College Josephinum,OH,Private,Midwest,90
Yeshiva Shaarei Torah of Rockland,NY,Private,Northeast,93
Bet Medrash Gadol Ateret Torah,NY,Private,Northeast,93
Oak Hills Christian College,MN,Private,Midwest,94
John F. Kennedy University,CA,Private,West,96
Logan University,MO,Private,Midwest,98
Webb Institute,NY,Private,Northeast,98
Yeshivas Maharit D'Satmar,NY,Private,Northeast,99
Hebrew Theological College,IL,Private,Midwest,100
City Vision University,MO,Private,Midwest,102
Antioch University-Santa Barbara,CA,Private,West,103
Yeshiva Gedolah Imrei Yosef D'spinka,NY,Private,Northeast,105
Bais Medrash Toras Chesed,NJ,Private,Northeast,105
Lincoln University,CA,Private,West,107
Rush University,IL,Private,Midwest,107
Beis Medrash Heichal Dovid,NY,Private,Northeast,110
Talmudical Yeshiva of Philadelphia,PA,Private,Northeast,114
American Baptist College,TN,Private,Southeast,115
Columbia College of Nursing,WI,Private,Midwest,116
Rabbinical College Ohr Yisroel,NY,Private,Northeast,116
Reformed University,GA,Private,Southeast,117
St. John's College-Department of Nursing,IL,Private,Midwest,118
Pacific Rim Christian University,HI,Private,West,121
Visible Music College,TN,Private,Southeast,123
Polytechnic University of Puerto Rico-Orlando,FL,Private,Southeast,124
Palo Alto University,CA,Private,West,125
Clear Creek Baptist Bible College,KY,Private,Southeast,127
Sterling College,VT,Private,Northeast,127
Boise Bible College,ID,Private,West,128
Great Lakes Christian College,MI,Private,Midwest,129
